Location, Mass, Year, Long, Lat
Mardan,4500,1948,34.23333,72.08333
Kushiike,4460,1920,37.05,138.38333
Ouadangou,4440,2003,12.9,0.08
Muddoor,4400,1865,12.63333,77.01667
Patora,4375,1969,20.93694,82.05
Charlotte,4300,1835,36.16667,-87.33333
Ferrette,4300,1947,47.5,7.31667
Ko��ice,4300,2010,48.76367,21.17633
Crumlin,4255,1902,54.61667,-6.21667
Adhi Kot,4239,1919,32.1,71.8
Sakauchi,4180,1913,35.66667,136.3
Gashua,4162,1984,12.85,11.03333
Sioux County,4100,1933,42.58333,-103.66667
Kuznetzovo,4047,1932,55.2,75.33333
Sena,4000,1773,41.71667,-0.05
Chassigny,4000,1815,47.71667,5.36667
Futtehpur,4000,1822,25.95,80.81667
Bialystok,4000,1827,53.1,23.2
Shalka,4000,1850,23.1,87.3
Sauguis,4000,1868,43.15,-0.85
Mern,4000,1878,55.05,12.06667
Nogoya,4000,1879,-32.36667,-59.83333
Mazapil,4000,1885,24.68333,-101.68333
St. Germain-du-Pinel,4000,1890,48.01667,-1.15
Krasnyi Klyuch,4000,1946,54.33333,56.08333
��anakkale,4000,1964,39.8,26.6
Lichtenberg,4000,1973,-26.15,26.18333
Chitenay,4000,1978,47.47083,0.97667
Werdama,4000,2006,32.79732,21.78713
Santa Lucia (2008),4000,2008,-31.535556,-68.489444
Nikolaevka,3996,1935,52.45,78.63333
Ichkala,3973,1936,58.2,82.93333
Djermaia,3950,1961,12.73333,15.05
Almahata Sitta,3950,2008,20.74575,32.41275
Chisenga,3920,1988,-10.05944,33.395
Shuangyang,3900,1971,43.5,125.66667
Doroninsk,3891,1805,51.2,112.3
Benoni,3880,1943,-26.16667,28.41667
Padvarninkai,3858,1929,55.66667,25
Taonan,3850,1965,45.4,122.9
Dokachi,3840,1903,23.5,90.33333
Laborel,3833,1871,44.28333,5.58333
Ramnagar,3766,1940,26.45,82.9
Moss,3763,2006,59.43333,10.7
Pitts,3760,1921,31.95,-83.51667
Wessely,3750,1831,48.95,17.38333
Ofeh̩rt�_,3750,1900,47.88333,22.03333
Kulp,3719,1906,41.11667,45
Hamlet,3710,1959,41.38333,-86.6
Siena,3700,1794,43.11667,11.6
Benares (a),3700,1798,25.36667,82.91667
Bald Mountain,3700,1929,35.96667,-82.48333
Chadong,3700,1998,28.53333,109.31667
Khanpur,3698,1932,25.55,83.11667
Shikarpur,3680,1921,25.85,87.5775
Jesenice,3667,2009,46.42137,14.05217
Cronstad,3650,1877,-27.7,27.3
Florence,3640,1922,30.83333,-97.76667
Gorlovka,3618,1974,48.28333,38.08333
Udipi,3600,1866,13.48333,74.78333
Virba,3600,1873,43.53333,22.63333
San Cerre de Mallorca,3600,1958,39.58333,2.65
Mifflin,3584,2010,42.9075,-90.36556
Manych,3555,1951,45.81667,44.63333
Mooresfort,3520,1810,52.45,-8.33333
Terranova di Sibari,3500,1755,39.33333,16.33333
Luc̩,3500,1768,47.85,0.48333
Grosnaja,3500,1861,43.66667,45.38333
Rowton,3500,1876,52.76667,-2.51667
Hedeskoga,3500,1922,55.46667,13.78333
Success,3500,1924,36.48333,-90.66667
Kaptal-Aryk,3500,1937,42.45,73.36667
Villalbeto de la Pe̱a,3500,2004,42.8,-4.66667
Idutywa,3457,1956,-32.1,28.33333
Utzenstorf,3422,1928,47.11667,7.55
Orvinio,3400,1872,42.13333,12.93333
Pacula,3400,1881,21.05,-99.3
Didim,3396,2007,37.35172,27.32997
Pesyanoe,3393,1933,55.5,66.08333
Ekeby,3336,1939,56.03333,13
Rewari,3332,1929,28.2,76.66667
Kediri,3300,1940,-7.75,112.01667
Klein-Wenden,3250,1843,51.6,10.8
Dwaleni,3230,1970,-27.2,31.31667
Rangala,3225,1937,25.38333,72.01667
Apt,3200,1803,43.86667,5.38333
Barea,3200,1842,42.38333,-2.5
Shytal,3200,1863,24.33333,90.16667
Aleppo,3200,1873,36.23333,37.13333
Andover,3200,1898,44.61667,-70.75
Felix,3200,1900,32.53333,-87.16667
Khor Temiki,3200,1932,16,36
Maridi,3200,1941,4.66667,29.25
Monte Milone,3130,1846,43.26667,13.35
Isthilart,3050,1928,-31.18333,-57.95
Eichst�_dt,3000,1785,48.9,11.21667
Pohlitz,3000,1819,50.93333,12.13333
Karakol,3000,1840,47.21667,81.01667
Le Pressoir,3000,1845,47.16667,0.43333
Marmande,3000,1848,44.5,0.15
Kaba,3000,1857,47.35,21.3
Akwanga,3000,1959,8.91667,8.43333
Inner Mongolia,3000,1963,41,112
Tillaberi,3000,1970,14.25,1.53333
Pavel,2968,1966,43.46667,25.51667
Karloowala,2950,1955,31.58333,71.6
Chaves,2945,1925,41.93333,-7.46667
Chela,2936,1988,-3.66667,32.5
Guangmingshan,2910,1996,39.80417,122.76389
Rodach,2900,1775,50.35,10.8
Battle Mountain,2900,2012,40.66813,-117.18913
Benton,2840,1949,45.95,-67.55
Aztec,2830,1938,36.8,-108
La B̩casse,2800,1879,47.08333,1.75
Valdavur,2799,1944,11.98333,79.75
Kamalpur,2770,1942,26.03333,81.46667
Wethersfield (1982),2756,1982,41.71056,-72.67361
Slobodka,2750,1818,55,35
Andhara,2700,1880,26.58333,85.56667
Naragh,2700,1974,33.75,51.5
Qingzhen,2600,1976,26.53333,106.46667
Monahans (1998),2587,1998,31.60833,-102.85833
Lunan,2520,1980,24.8,103.3
Savtschenskoje,2500,1894,47.21667,29.86667
Bholghati,2500,1905,22.08333,86.9
Ibitira,2500,1957,-20,-45
Tathlith,2500,1967,19.38333,43.73333
